NAAM,ALCOHOL %,BROUWERIJ
Brunehaut Village,6.500000,Brouwerij de Brunehaut
Brunehaut BioAmber,6.500000,Brouwerij de Brunehaut
Brunehaut BioBlanche,5.000000,Brouwerij de Brunehaut
Brunehaut BioBlonde,6.500000,Brouwerij de Brunehaut
Brunette,9.000000,Brouwerij Van Steenbergevoor Hopduvel Gent
Brusseleir Zwet IPA,8.000000,Brasserie de la Senne
Brussels Framboos,3.500000,Brouwerij Van Steenberge
Brussels Kriek,5.000000,Brouwerij Van Steenberge
Brussels Perzik,4.000000,Brouwerij Van Steenberge
Brussels FruitBeer “Apple”,3.200000,Brouwerij Du Bocq
Brussels FruitBeer “Peaches”,3.200000,Brouwerij Du Bocq
Brussels FruitBeer “Red Fruit”,3.200000,Brouwerij Du Bocq
Brut,8.000000,Brouwerij De Vlier
Bruynen Moriaen,9.000000,Brouwerij Van Eecke
Bryggja,8.500000,Brouwerij Bryggja
Buffalo,6.500000,Brouwerij Van Den Bossche
Buffalo BelgianStout,9.000000,Brouwerij Van Den Bossche
Buffalo Bitter,8.000000,Brouwerij Van Den Bossche
Bush Amber,12.000000,Brouwerij Dubuisson
Bush Amber Tripel,12.000000,Brouwerij Dubuisson
Bush Blond,10.500000,Brouwerij Dubuisson
Bush Blond Triple,10.500000,Brouwerij Dubuisson
Bush de Noël,12.000000,Brouwerij Dubuisson
Bush de NoëlPremium,13.000000,Brouwerij Dubuisson
Bush de Nuits,13.000000,Brouwerij Dubuisson
Bush Prestige,13.000000,Brouwerij Dubuisson
Bush 7,7.500000,Brouwerij Dubuisson
Cambrinus,5.100000,Brouwerij Verhaeghe
Campus Premium,5.000000,Brouwerij Huyghe
Campus,7.000000,Brouwerij Huyghe
Campus Gold,6.200000,Brouwerij Huyghe
Canaille,5.200000,Brouwerij Grain d’Orge
Canaster,8.700000,Brouwerij De Glazen Toren
Cantillon Fou’ Foune,5.000000,Brouwerij Cantillon
Cantillon Geuze,5.000000,Brouwerij Cantillon
Caper Fumatis,6.300000,Brouwerij Alvinne
Capoen,6.500000,De ProefBrouwerij
Captain CookerManuka Beer,5.700000,De ProefBrouwerij voor Captain Cooker
Captain CookerWhite Manuka Beer,4.500000,De ProefBrouwerij voor Captain Cooker
Cara Pils,4.900000,Brouwerij Haacht
Caracole,8.000000,Brouwerij Caracole
Carioca,4.800000,De Lion à Plume bij Brouwerij deBastogne
Carlos,6.500000,Brouwerij Contreras
Carnavalsbier,6.100000,Brouwerij De Graal voorbierfirma Vacas
Carrousel,6.000000,Brouwerij De Vlier
Caulier Brune,6.800000,De ProefBrouwerij voor The House ofCaulier
Caulier SpecialExtra,4.300000,De ProefBrouwerij voor The House ofCaulier
Caulier Blonde,6.800000,De ProefBrouwerij voor The House ofCaulier
